algorithm,runtime,graph_nodes,edge_probability,Budget
heuristic_minbudget,0.398219099995913,200,0.1,"(3, [(136, 1), (106, 1), (48, 1), (157, 2), (128, 2), (120, 2)])"
spreading_minbudget,8.769554500002414,200,0.1,"(16, [(3, 1), (157, 1), (116, 1), (106, 1), (70, 1), (44, 1), (17, 1), (43, 1), (138, 1), (194, 1), (147, 1), (76, 1), (4, 1), (48, 1), (65, 1), (112, 1)])"
heuristic_minbudget,0.48429249999753665,200,0.1,"(10, [(48, 1), (147, 1), (194, 1), (76, 1), (106, 1), (44, 1), (65, 1), (112, 1), (4, 1), (52, 1), (142, 2), (16, 2), (107, 2), (69, 2), (42, 2), (12, 2), (143, 2), (87, 2), (6, 2), (177, 2)])"
spreading_minbudget,4.215613599997596,200,0.1,"(9, [(116, 1), (33, 1), (70, 1), (101, 1), (21, 1), (194, 1), (4, 1), (52, 1), (106, 1)])"
heuristic_minbudget,0.4958438000030583,200,0.1,"(6, [(52, 1), (106, 1), (4, 1), (147, 1), (194, 1), (76, 1), (59, 2), (81, 2), (2, 2), (129, 2), (61, 2), (16, 2)])"
spreading_minbudget,0.1568801999965217,200,0.5,"(1, [(10, 1)])"
heuristic_minbudget,3.0877527999982703,200,0.5,"(1, [(132, 1)])"
spreading_minbudget,2.236697499989532,200,0.5,"(6, [(99, 1), (168, 1), (175, 1), (31, 1), (149, 1), (177, 1)])"
heuristic_minbudget,3.3113985999953,200,0.5,"(5, [(149, 1), (168, 1), (177, 1), (31, 1), (175, 1)])"
spreading_minbudget,9.140447199999471,200,0.5,"(32, [(59, 1), (144, 1), (63, 1), (19, 1), (34, 1), (41, 1), (50, 1), (65, 1), (82, 1), (85, 1), (103, 1), (116, 1), (130, 1), (143, 1), (168, 1), (180, 1), (184, 1), (191, 1), (193, 1), (28, 1), (75, 1), (139, 1), (146, 1), (149, 1), (162, 1), (61, 1), (68, 1), (81, 1), (137, 1), (186, 1), (153, 1), (192, 1)])"
heuristic_minbudget,5.723877700002049,200,0.5,"(31, [(184, 1), (143, 1), (116, 1), (61, 1), (59, 1), (149, 1), (130, 1), (186, 1), (75, 1), (68, 1), (82, 1), (103, 1), (162, 1), (191, 1), (193, 1), (41, 1), (19, 1), (180, 1), (192, 1), (28, 1), (85, 1), (50, 1), (168, 1), (63, 1), (34, 1), (137, 1), (153, 1), (146, 1), (65, 1), (139, 1), (81, 1)])"
spreading_minbudget,2.4964694999944186,200,0.5,"(8, [(63, 1), (85, 1), (140, 1), (180, 1), (193, 1), (197, 1), (199, 1), (119, 1)])"
heuristic_minbudget,3.2830257000023266,200,0.5,"(7, [(180, 1), (140, 1), (193, 1), (119, 1), (199, 1), (85, 1), (197, 1)])"
spreading_minbudget,1.0909339999925578,200,0.5,"(2, [(4, 1), (192, 1)])"
heuristic_minbudget,3.0061140000034356,200,0.5,"(2, [(192, 1), (108, 1)])"
