algorithm,runtime,graph_nodes,Budget,Budget_numeric
non_spreading_minbudget,0.006023499998264,51.0,"(10, [(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)])",10.0
heuristic_minbudget,0.1405451000318862,51.0,"(4, [(1, 1), (9, 1), (8, 1), (2, 1), (15, 2), (16, 2), (12, 2), (14, 2), (23, 3), (22, 3), (26, 3), (30, 3), (35, 4), (31, 4), (32, 4), (38, 4)])",4.0
non_spreading_dirlaynet_minbudget,0.0702171999728307,51.0,"(2, [(13, 1), (44, 1), (31, 2), (37, 3), (34, 4)])",2.0
non_spreading_minbudget,0.0070222999784164,51.0,"(5, [(34, 1), (37, 1), (44, 1), (13, 1), (31, 1)])",5.0
heuristic_minbudget,0.1170176999876275,51.0,"(3, [(8, 1), (2, 1), (4, 1), (13, 2), (15, 2), (20, 2), (22, 3), (26, 3), (30, 3), (34, 4), (31, 4), (37, 4)])",3.0
non_spreading_dirlaynet_minbudget,0.0725927000166848,51.0,"(10, [(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)])",10.0
non_spreading_minbudget,0.0057624000473879,51.0,"(10, [(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)])",10.0
heuristic_minbudget,0.1327204999979585,51.0,"(4, [(5, 1), (9, 1), (8, 1), (2, 1), (15, 2), (11, 2), (20, 2), (16, 2), (24, 3), (22, 3), (26, 3), (30, 3), (39, 4), (37, 4), (32, 4), (33, 4)])",4.0
non_spreading_dirlaynet_minbudget,0.0606323000392876,50.0,"(5, [(2, 1), (3, 1), (5, 1), (7, 1), (10, 1), (14, 2)])",5.0
non_spreading_minbudget,0.0042163000325672,50.0,"(6, [(2, 1), (3, 1), (5, 1), (7, 1), (10, 1), (14, 1)])",6.0
heuristic_minbudget,0.0652979000005871,50.0,"(2, [(5, 1), (3, 1), (11, 2), (13, 2), (19, 3), (20, 3), (28, 4), (22, 4), (34, 5), (33, 5), (37, 6), (39, 6)])",2.0
non_spreading_dirlaynet_minbudget,0.0600394000066444,50.0,"(5, [(2, 1), (3, 1), (5, 1), (7, 1), (10, 1), (14, 2)])",5.0
non_spreading_minbudget,0.0046260000090114,50.0,"(6, [(2, 1), (3, 1), (5, 1), (7, 1), (10, 1), (14, 1)])",6.0
heuristic_minbudget,0.0737051999894902,50.0,"(3, [(3, 1), (5, 1), (2, 1), (13, 2), (8, 2), (14, 2), (19, 3), (16, 3), (20, 3), (26, 4), (25, 4), (24, 4), (30, 5), (31, 5), (33, 5)])",3.0
non_spreading_dirlaynet_minbudget,0.0607544000376947,50.0,"(5, [(2, 1), (3, 1), (5, 1), (7, 1), (10, 1), (14, 2)])",5.0
non_spreading_minbudget,0.0042167999781668,50.0,"(6, [(2, 1), (3, 1), (5, 1), (7, 1), (10, 1), (14, 1)])",6.0
heuristic_minbudget,0.0805034000077284,50.0,"(3, [(3, 1), (5, 1), (2, 1), (12, 2), (8, 2), (14, 2), (15, 3), (19, 3), (16, 3), (22, 4), (23, 4), (25, 4), (34, 5), (31, 5), (33, 5), (37, 6), (39, 6), (40, 6)])",3.0
non_spreading_dirlaynet_minbudget,0.0591366000007838,50.0,"(6, [(2, 1), (3, 1), (4, 1), (5, 1), (7, 1), (14, 1), (10, 2)])",6.0
non_spreading_minbudget,0.0058757000369951,50.0,"(7, [(2, 1), (3, 1), (4, 1), (5, 1), (7, 1), (10, 1), (14, 1)])",7.0
heuristic_minbudget,0.0607512000133283,50.0,"(2, [(7, 1), (4, 1), (8, 2), (11, 2), (20, 3), (15, 3), (28, 4), (24, 4), (29, 5), (31, 5), (37, 6), (41, 6)])",2.0
non_spreading_dirlaynet_minbudget,0.0605652999947778,50.0,"(3, [(17, 1), (29, 1), (45, 1), (27, 2), (25, 3), (23, 4)])",3.0
non_spreading_minbudget,0.0045278000179678,50.0,"(6, [(45, 1), (17, 1), (23, 1), (25, 1), (27, 1), (29, 1)])",6.0
heuristic_minbudget,0.0689243000233545,50.0,"(3, [(3, 1), (5, 1), (2, 1), (8, 2), (14, 2), (10, 2), (16, 3), (20, 3), (21, 3), (25, 4), (27, 4), (28, 4), (32, 5)])",3.0
non_spreading_dirlaynet_minbudget,0.0613436999847181,50.0,"(5, [(2, 1), (3, 1), (5, 1), (7, 1), (10, 1), (14, 2)])",5.0
non_spreading_minbudget,0.0052661999943666,50.0,"(6, [(2, 1), (3, 1), (5, 1), (7, 1), (10, 1), (14, 1)])",6.0
heuristic_minbudget,0.0525981000391766,50.0,"(2, [(3, 1), (7, 1), (14, 2), (8, 2), (19, 3), (16, 3), (25, 4), (26, 4), (34, 5), (31, 5), (37, 6), (41, 6)])",2.0
