algorithm,runtime,Budget,graph_nodes,edge_probability,Nodes_Saved
spreading_maxsave,0.0573012999957427,1,50.0,0.5,2
heuristic_maxsave,0.0353514000307768,1,50.0,0.5,2
spreading_maxsave,0.0778054000111296,2,50.0,0.5,3
heuristic_maxsave,0.0443283000495284,2,50.0,0.5,3
spreading_maxsave,0.0945392999565228,3,50.0,0.5,3
heuristic_maxsave,0.0519843000220134,3,50.0,0.5,3
spreading_maxsave,0.1317116999998688,5,50.0,0.5,3
heuristic_maxsave,0.0641915999585762,5,50.0,0.5,3
spreading_maxsave,0.1714530999306589,7,50.0,0.5,3
heuristic_maxsave,0.0826576000545173,7,50.0,0.5,3
spreading_maxsave,0.2019403999438509,10,50.0,0.5,3
heuristic_maxsave,0.1186038000741973,10,50.0,0.5,3
spreading_maxsave,0.065981899970211,1,50.0,0.5,6
heuristic_maxsave,0.0408265000442042,1,50.0,0.5,6
spreading_maxsave,0.0820798000786453,2,50.0,0.5,7
heuristic_maxsave,0.0461615000385791,2,50.0,0.5,8
spreading_maxsave,0.111929600010626,3,50.0,0.5,8
heuristic_maxsave,0.0737120000412687,3,50.0,0.5,9
spreading_maxsave,0.1519939999561756,5,50.0,0.5,10
heuristic_maxsave,0.0651654000394046,5,50.0,0.5,10
spreading_maxsave,0.1872269000159576,7,50.0,0.5,10
heuristic_maxsave,0.0812185999238863,7,50.0,0.5,10
spreading_maxsave,0.2101491000503301,10,50.0,0.5,10
heuristic_maxsave,0.0985865999246016,10,50.0,0.5,10
spreading_maxsave,0.0653680000687018,1,50.0,0.5,12
heuristic_maxsave,0.1367476000450551,1,50.0,0.5,11
spreading_maxsave,0.0878239999292418,2,50.0,0.5,15
heuristic_maxsave,0.0489776000613346,2,50.0,0.5,15
spreading_maxsave,0.097691300092265,3,50.0,0.5,16
heuristic_maxsave,0.0528413999127224,3,50.0,0.5,16
spreading_maxsave,0.1310759000480175,5,50.0,0.5,18
heuristic_maxsave,0.0698319000657647,5,50.0,0.5,18
spreading_maxsave,0.1682382000144571,7,50.0,0.5,20
heuristic_maxsave,0.0772001000586897,7,50.0,0.5,20
spreading_maxsave,0.2402475000126287,10,50.0,0.5,23
heuristic_maxsave,0.1291668999474495,10,50.0,0.5,23
spreading_maxsave,0.0551850999472662,1,50.0,0.8,6
heuristic_maxsave,0.043722900096327,1,50.0,0.8,6
spreading_maxsave,0.0732496000127866,2,50.0,0.8,7
heuristic_maxsave,0.0580644999863579,2,50.0,0.8,7
spreading_maxsave,0.0867450999794527,3,50.0,0.8,8
heuristic_maxsave,0.1775383999338373,3,50.0,0.8,8
spreading_maxsave,0.1168753000674769,5,50.0,0.8,10
heuristic_maxsave,0.1191949000349268,5,50.0,0.8,10
spreading_maxsave,0.1781765000196173,7,50.0,0.8,12
heuristic_maxsave,0.1428634999319911,7,50.0,0.8,12
spreading_maxsave,0.2117559999460354,10,50.0,0.8,15
heuristic_maxsave,0.1875361000420525,10,50.0,0.8,15
spreading_maxsave,0.0563901000423356,1,50.0,0.8,4
heuristic_maxsave,0.0390433999709785,1,50.0,0.8,4
spreading_maxsave,0.07036190002691,2,50.0,0.8,5
heuristic_maxsave,0.1181747999507933,2,50.0,0.8,5
spreading_maxsave,0.1062734000151977,3,50.0,0.8,6
heuristic_maxsave,0.0840982999652624,3,50.0,0.8,6
spreading_maxsave,0.1366553000407293,5,50.0,0.8,8
heuristic_maxsave,0.1138987999875098,5,50.0,0.8,8
spreading_maxsave,0.1538015999831259,7,50.0,0.8,8
heuristic_maxsave,0.1543622000608593,7,50.0,0.8,8
spreading_maxsave,0.229396800044924,10,50.0,0.8,8
heuristic_maxsave,0.2937940000556409,10,50.0,0.8,8
spreading_maxsave,0.0558414999395608,1,50.0,0.8,1
heuristic_maxsave,0.0429176000179722,1,50.0,0.8,1
spreading_maxsave,0.0691163999726995,2,50.0,0.8,2
heuristic_maxsave,0.0593079000245779,2,50.0,0.8,2
spreading_maxsave,0.0943552000680938,3,50.0,0.8,2
heuristic_maxsave,0.0822752000531181,3,50.0,0.8,2
spreading_maxsave,0.1373583000386133,5,50.0,0.8,2
heuristic_maxsave,0.1080435999901965,5,50.0,0.8,2
spreading_maxsave,0.1773350000148639,7,50.0,0.8,2
heuristic_maxsave,0.2683348000282421,7,50.0,0.8,2
spreading_maxsave,0.2127431000117212,10,50.0,0.8,2
heuristic_maxsave,0.2077154000289738,10,50.0,0.8,2
spreading_maxsave,0.0611155999358743,1,50.0,0.8,4
heuristic_maxsave,0.0396942000370472,1,50.0,0.8,4
spreading_maxsave,0.0705389999784529,2,50.0,0.8,5
heuristic_maxsave,0.0646699999924749,2,50.0,0.8,5
spreading_maxsave,0.0915272000711411,3,50.0,0.8,6
heuristic_maxsave,0.0787050999933853,3,50.0,0.8,6
spreading_maxsave,0.2353046999778598,5,50.0,0.8,8
heuristic_maxsave,0.1112806999590247,5,50.0,0.8,8
spreading_maxsave,0.1701782000018283,7,50.0,0.8,10
heuristic_maxsave,0.1626203000778332,7,50.0,0.8,10
spreading_maxsave,0.2149088999722153,10,50.0,0.8,12
heuristic_maxsave,0.2193466000026092,10,50.0,0.8,12
spreading_maxsave,0.0618748000124469,1,50.0,0.8,1
heuristic_maxsave,0.0425215000286698,1,50.0,0.8,1
spreading_maxsave,0.075139999971725,2,50.0,0.8,2
heuristic_maxsave,0.0607660999521613,2,50.0,0.8,2
spreading_maxsave,0.1072398000396788,3,50.0,0.8,3
heuristic_maxsave,0.080724100000225,3,50.0,0.8,3
spreading_maxsave,0.1176153999986127,5,50.0,0.8,4
heuristic_maxsave,0.1054360000416636,5,50.0,0.8,4
spreading_maxsave,0.1672176000429317,7,50.0,0.8,4
heuristic_maxsave,0.1579521000385284,7,50.0,0.8,4
spreading_maxsave,0.2478262999793514,10,50.0,0.8,4
heuristic_maxsave,0.2947014999808743,10,50.0,0.8,4
spreading_maxsave,0.0521577999461442,1,50.0,0.8,3
heuristic_maxsave,0.0440116999670863,1,50.0,0.8,3
spreading_maxsave,0.0844896000344306,2,50.0,0.8,4
heuristic_maxsave,0.0626225000014528,2,50.0,0.8,4
spreading_maxsave,0.1099757000338286,3,50.0,0.8,5
heuristic_maxsave,0.0905443000374361,3,50.0,0.8,5
spreading_maxsave,0.1380516999633982,5,50.0,0.8,5
heuristic_maxsave,0.1083560000406578,5,50.0,0.8,5
spreading_maxsave,0.1604912999318912,7,50.0,0.8,5
heuristic_maxsave,0.2489628000184893,7,50.0,0.8,5
spreading_maxsave,0.205816900008358,10,50.0,0.8,5
heuristic_maxsave,0.2861377999652177,10,50.0,0.8,5
spreading_maxsave,0.093205300043337,1,50.0,0.8,3
heuristic_maxsave,0.0467578000389039,1,50.0,0.8,3
spreading_maxsave,0.0774807999841868,2,50.0,0.8,4
heuristic_maxsave,0.0628746000584214,2,50.0,0.8,4
spreading_maxsave,0.0955019999528303,3,50.0,0.8,5
heuristic_maxsave,0.075695400009863,3,50.0,0.8,5
spreading_maxsave,0.3384600001154467,5,50.0,0.8,7
heuristic_maxsave,0.1517462999327108,5,50.0,0.8,7
spreading_maxsave,0.1801990000531077,7,50.0,0.8,9
heuristic_maxsave,0.1647484999848529,7,50.0,0.8,9
spreading_maxsave,0.2168667000951245,10,50.0,0.8,12
heuristic_maxsave,0.1957001999253407,10,50.0,0.8,12
spreading_maxsave,0.054196499986574,1,50.0,0.8,5
heuristic_maxsave,0.0402499999618157,1,50.0,0.8,5
spreading_maxsave,0.0838584000011906,2,50.0,0.8,6
heuristic_maxsave,0.0591790999751538,2,50.0,0.8,6
spreading_maxsave,0.0863421999383717,3,50.0,0.8,7
heuristic_maxsave,0.0799798999214544,3,50.0,0.8,7
spreading_maxsave,0.1284460999304428,5,50.0,0.8,9
heuristic_maxsave,0.1085197000065818,5,50.0,0.8,9
spreading_maxsave,0.2788575999438762,7,50.0,0.8,11
heuristic_maxsave,0.1472095999633893,7,50.0,0.8,11
spreading_maxsave,0.2603355000028386,10,50.0,0.8,12
heuristic_maxsave,0.1860976999159902,10,50.0,0.8,12
