algorithm,runtime,Budget,graph_nodes,edge_probability,Nodes_Saved
heuristic_maxsave,0.060227899928577244,7,50,0.25,9
spreading_maxsave,0.2587705999612808,10,50,0.25,9
heuristic_maxsave,0.035486700013279915,10,50,0.25,9
spreading_maxsave,0.07911449996754527,1,50,0.25,6
heuristic_maxsave,0.044283200055360794,1,50,0.25,4
spreading_maxsave,0.14795420004520565,2,50,0.25,6
heuristic_maxsave,0.054104499984532595,2,50,0.25,6
spreading_maxsave,0.12074749998282641,3,50,0.25,6
heuristic_maxsave,0.04983400006312877,3,50,0.25,6
spreading_maxsave,0.18067289993632585,5,50,0.25,6
heuristic_maxsave,0.05172580003272742,5,50,0.25,6
spreading_maxsave,0.317149999900721,7,50,0.25,6
heuristic_maxsave,0.050997599959373474,7,50,0.25,6
spreading_maxsave,0.24323849997017533,10,50,0.25,6
heuristic_maxsave,0.035830099950544536,10,50,0.25,6
spreading_maxsave,0.06466620007995516,1,50,0.5,5
heuristic_maxsave,0.04206989996600896,1,50,0.5,5
spreading_maxsave,0.11178399994969368,2,50,0.5,6
heuristic_maxsave,0.05674090003594756,2,50,0.5,6
spreading_maxsave,0.11833129997830838,3,50,0.5,7
heuristic_maxsave,0.06385250005405396,3,50,0.5,7
spreading_maxsave,0.2578336000442505,5,50,0.5,9
heuristic_maxsave,0.07476600003428757,5,50,0.5,9
spreading_maxsave,0.2695337999612093,7,50,0.5,10
heuristic_maxsave,0.0986241000937298,7,50,0.5,10
spreading_maxsave,0.25761219998821616,10,50,0.5,10
heuristic_maxsave,0.12011139991227537,10,50,0.5,10
spreading_maxsave,0.06757199997082353,1,50,0.5,3
heuristic_maxsave,0.052003599936142564,1,50,0.5,3
spreading_maxsave,0.09984850010368973,2,50,0.5,3
heuristic_maxsave,0.05419559997972101,2,50,0.5,3
spreading_maxsave,0.1150476000038907,3,50,0.5,3
heuristic_maxsave,0.049884899985045195,3,50,0.5,3
spreading_maxsave,0.25472279998939484,5,50,0.5,3
heuristic_maxsave,0.06674739997833967,5,50,0.5,3
spreading_maxsave,0.17165540007408708,7,50,0.5,3
heuristic_maxsave,0.08124980004504323,7,50,0.5,3
spreading_maxsave,0.24455499998293817,10,50,0.5,3
heuristic_maxsave,0.10592280002310872,10,50,0.5,3
spreading_maxsave,0.07610369997564703,1,50,0.5,10
heuristic_maxsave,0.04026150004938245,1,50,0.5,9
spreading_maxsave,0.10026009997818619,2,50,0.5,11
heuristic_maxsave,0.04801140003837645,2,50,0.5,12
spreading_maxsave,0.10282889998052269,3,50,0.5,12
heuristic_maxsave,0.05756009998731315,3,50,0.5,13
spreading_maxsave,0.15295120002701879,5,50,0.5,14
heuristic_maxsave,0.08434010006021708,5,50,0.5,15
spreading_maxsave,0.1690201999153942,7,50,0.5,16
heuristic_maxsave,0.08246740000322461,7,50,0.5,17
spreading_maxsave,0.20795599999837577,10,50,0.5,19
heuristic_maxsave,0.10744099994190037,10,50,0.5,20
spreading_maxsave,0.06521529995370656,1,50,0.5,13
heuristic_maxsave,0.038333000033162534,1,50,0.5,13
spreading_maxsave,0.19234439998399466,2,50,0.5,15
heuristic_maxsave,0.049219700042158365,2,50,0.5,15
spreading_maxsave,0.10085970000363886,3,50,0.5,16
heuristic_maxsave,0.05723839998245239,3,50,0.5,16
spreading_maxsave,0.1306041000643745,5,50,0.5,18
heuristic_maxsave,0.06480279995594174,5,50,0.5,18
spreading_maxsave,0.1993231000378728,7,50,0.5,20
heuristic_maxsave,0.09370430000126362,7,50,0.5,20
spreading_maxsave,0.22205450001638383,10,50,0.5,23
heuristic_maxsave,0.10325799998827279,10,50,0.5,23
spreading_maxsave,0.06327929999679327,1,50,0.5,11
heuristic_maxsave,0.03865759994369,1,50,0.5,11
spreading_maxsave,0.19659529998898506,2,50,0.5,12
heuristic_maxsave,0.07411629997659475,2,50,0.5,12
spreading_maxsave,0.11971090000588447,3,50,0.5,13
heuristic_maxsave,0.059152300003916025,3,50,0.5,13
spreading_maxsave,0.1375363999977708,5,50,0.5,15
heuristic_maxsave,0.07617250003386289,5,50,0.5,15
spreading_maxsave,0.17162959999404848,7,50,0.5,17
heuristic_maxsave,0.08028350002132356,7,50,0.5,17
spreading_maxsave,0.24041770002804697,10,50,0.5,17
heuristic_maxsave,0.11869829997885972,10,50,0.5,17
spreading_maxsave,0.06997800001408905,1,50,0.5,12
heuristic_maxsave,0.1485431999899447,1,50,0.5,10
spreading_maxsave,0.11889429995790124,2,50,0.5,16
heuristic_maxsave,0.058283899910748005,2,50,0.5,16
spreading_maxsave,0.10623709997162223,3,50,0.5,17
heuristic_maxsave,0.054719299892894924,3,50,0.5,17
spreading_maxsave,0.14129810000304133,5,50,0.5,19
heuristic_maxsave,0.06724420003592968,5,50,0.5,19
spreading_maxsave,0.1836963000241667,7,50,0.5,21
heuristic_maxsave,0.0821031000232324,7,50,0.5,21
spreading_maxsave,0.3304358000168577,10,50,0.5,24
heuristic_maxsave,0.1048407000489533,10,50,0.5,24
spreading_maxsave,0.062761600012891,1,50,0.5,2
heuristic_maxsave,0.04613260005135089,1,50,0.5,3
spreading_maxsave,0.07762460003141314,2,50,0.5,3
heuristic_maxsave,0.04827090003527701,2,50,0.5,3
spreading_maxsave,0.1014386999886483,3,50,0.5,3
heuristic_maxsave,0.049569300026632845,3,50,0.5,3
spreading_maxsave,0.13221960002556443,5,50,0.5,3
heuristic_maxsave,0.06325969996396452,5,50,0.5,3
spreading_maxsave,0.18861529999412596,7,50,0.5,3
heuristic_maxsave,0.09877000004053116,7,50,0.5,3
spreading_maxsave,0.3335721999173984,10,50,0.5,3
heuristic_maxsave,0.11838410003110766,10,50,0.5,3
spreading_maxsave,0.05730129999574274,1,50,0.5,2
heuristic_maxsave,0.03535140003077686,1,50,0.5,2
spreading_maxsave,0.07780540001112968,2,50,0.5,3
heuristic_maxsave,0.04432830004952848,2,50,0.5,3
spreading_maxsave,0.09453929995652288,3,50,0.5,3
heuristic_maxsave,0.051984300022013485,3,50,0.5,3
spreading_maxsave,0.13171169999986887,5,50,0.5,3
heuristic_maxsave,0.06419159995857626,5,50,0.5,3
spreading_maxsave,0.17145309993065894,7,50,0.5,3
heuristic_maxsave,0.08265760005451739,7,50,0.5,3
spreading_maxsave,0.20194039994385093,10,50,0.5,3
heuristic_maxsave,0.11860380007419735,10,50,0.5,3
spreading_maxsave,0.06598189997021109,1,50,0.5,6
heuristic_maxsave,0.040826500044204295,1,50,0.5,6
spreading_maxsave,0.08207980007864535,2,50,0.5,7
heuristic_maxsave,0.046161500038579106,2,50,0.5,8
spreading_maxsave,0.11192960001062602,3,50,0.5,8
heuristic_maxsave,0.07371200004126877,3,50,0.5,9
spreading_maxsave,0.15199399995617568,5,50,0.5,10
heuristic_maxsave,0.06516540003940463,5,50,0.5,10
spreading_maxsave,0.18722690001595765,7,50,0.5,10
heuristic_maxsave,0.08121859992388636,7,50,0.5,10
spreading_maxsave,0.21014910005033016,10,50,0.5,10
heuristic_maxsave,0.09858659992460161,10,50,0.5,10
spreading_maxsave,0.0653680000687018,1,50,0.5,12
heuristic_maxsave,0.13674760004505515,1,50,0.5,11
