algorithm,runtime,graph_nodes,edge_probability,Budget,Budget_numeric
spreading_minbudget,0.269165100005921,50,0.5,"(8, [(14, 1), (19, 1), (39, 1), (40, 1), (5, 1), (7, 1), (31, 1), (47, 1)])",8
heuristic_minbudget,0.417115600022953,50,0.5,"(8, [(5, 1), (40, 1), (19, 1), (14, 1), (31, 1), (7, 1), (39, 1), (47, 1)])",8
spreading_minbudget,0.3212528000003658,50,0.5,"(7, [(3, 1), (1, 1), (19, 1), (32, 1), (7, 1), (22, 1), (41, 1)])",7
heuristic_minbudget,0.4047218000050634,50,0.5,"(6, [(1, 1), (19, 1), (32, 1), (22, 1), (7, 1), (41, 1)])",6
spreading_minbudget,0.7747707000235096,50,0.5,"(15, [(28, 1), (1, 1), (6, 1), (13, 1), (16, 1), (21, 1), (25, 1), (26, 1), (40, 1), (48, 1), (31, 1), (37, 1), (44, 1), (43, 1), (20, 1)])",15
heuristic_minbudget,0.480248199950438,50,0.5,"(15, [(37, 1), (16, 1), (21, 1), (1, 1), (28, 1), (13, 1), (6, 1), (43, 1), (20, 1), (48, 1), (31, 1), (40, 1), (26, 1), (44, 1), (25, 1)])",15
spreading_minbudget,0.2954048999818042,50,0.8,"(9, [(17, 1), (18, 1), (21, 1), (29, 1), (36, 1), (46, 1), (3, 1), (26, 1), (27, 1)])",9
heuristic_minbudget,0.6077205999754369,50,0.8,"(9, [(46, 1), (36, 1), (3, 1), (18, 1), (29, 1), (17, 1), (26, 1), (21, 1), (27, 1)])",9
spreading_minbudget,0.1487440000055357,50,0.8,"(6, [(11, 1), (20, 1), (29, 1), (44, 1), (3, 1), (27, 1)])",6
heuristic_minbudget,0.5430870000272989,50,0.8,"(6, [(3, 1), (20, 1), (11, 1), (29, 1), (27, 1), (44, 1)])",6
spreading_minbudget,0.2690925000351853,50,0.8,"(8, [(4, 1), (7, 1), (13, 1), (17, 1), (40, 1), (49, 1), (10, 1), (42, 1)])",8
heuristic_minbudget,0.6602641000063159,50,0.8,"(8, [(4, 1), (49, 1), (13, 1), (17, 1), (40, 1), (42, 1), (7, 1), (10, 1)])",8
spreading_minbudget,0.4312672999803908,50,0.8,"(11, [(45, 1), (11, 1), (20, 1), (22, 1), (31, 1), (37, 1), (40, 1), (49, 1), (41, 1), (48, 1), (42, 1)])",11
heuristic_minbudget,0.6415572999976575,50,0.8,"(11, [(45, 1), (37, 1), (31, 1), (49, 1), (20, 1), (11, 1), (48, 1), (22, 1), (40, 1), (42, 1), (41, 1)])",11
spreading_minbudget,0.2362689000437967,50,0.8,"(7, [(20, 1), (15, 1), (22, 1), (30, 1), (46, 1), (27, 1), (48, 1)])",7
heuristic_minbudget,0.654820799943991,50,0.8,"(7, [(30, 1), (15, 1), (20, 1), (46, 1), (22, 1), (48, 1), (27, 1)])",7
spreading_minbudget,0.3187581999809481,50,0.8,"(9, [(7, 1), (30, 1), (31, 1), (38, 1), (39, 1), (43, 1), (45, 1), (34, 1), (41, 1)])",9
heuristic_minbudget,0.6081714000320062,50,0.8,"(9, [(41, 1), (39, 1), (45, 1), (31, 1), (34, 1), (30, 1), (43, 1), (38, 1), (7, 1)])",9
spreading_minbudget,0.0174840000108815,50,0.8,"(1, [(34, 1)])",1
heuristic_minbudget,0.5441330000176094,50,0.8,"(1, [(34, 1)])",1
spreading_minbudget,0.3215928000281565,50,0.8,"(12, [(1, 1), (4, 1), (20, 1), (25, 1), (39, 1), (46, 1), (49, 1), (3, 1), (26, 1), (34, 1), (41, 1), (48, 1)])",12
heuristic_minbudget,0.8083008999819867,50,0.8,"(12, [(25, 1), (1, 1), (49, 1), (3, 1), (4, 1), (20, 1), (46, 1), (39, 1), (26, 1), (34, 1), (48, 1), (41, 1)])",12
